BestFirst;Emmen/Schachenstrasse/2;Luzern/Zürichstrasse/85;102000
BestFirst;Luzern/Baselstrasse/76;Luzern/Zürichstrasse/5;36100
BestFirst;Luzern/Bruchstrasse/18;Luzern/Zentralstrasse/1;16200
BestFirst;Luzern/Bruchstrasse/35;Luzern/Spitalstrasse/4;17600
BestFirst;Luzern/Bundesplatz/2;Luzern/Spitalstrasse/16;27800
BestFirst;Luzern/Haldenstrasse/23;Luzern/Seehüsliweg/6;30800
BestFirst;Luzern/Horwerstrasse/87;Luzern/Schweizerhofquai/3;40300
BestFirst;Luzern/Kasernenplatz/3;Luzern/Sankt-Karli-Strasse/29;28700
BestFirst;Luzern/Obergrundstrasse/110;Luzern/Reusszopfweg/17;24300
BestFirst;Luzern/Obergrundstrasse/85;Luzern/Pilatusstrasse/38;24600
BreadthFirst;Emmen/Schachenstrasse/2;Luzern/Zürichstrasse/85;133100
BreadthFirst;Luzern/Baselstrasse/76;Luzern/Zürichstrasse/5;25700
BreadthFirst;Luzern/Bruchstrasse/18;Luzern/Zentralstrasse/1;16600
BreadthFirst;Luzern/Bruchstrasse/35;Luzern/Spitalstrasse/4;31400
BreadthFirst;Luzern/Bundesplatz/2;Luzern/Spitalstrasse/16;49100
BreadthFirst;Luzern/Haldenstrasse/23;Luzern/Seehüsliweg/6;14900
BreadthFirst;Luzern/Horwerstrasse/87;Luzern/Schweizerhofquai/3;12800
BreadthFirst;Luzern/Kasernenplatz/3;Luzern/Sankt-Karli-Strasse/29;21900
BreadthFirst;Luzern/Obergrundstrasse/110;Luzern/Reusszopfweg/17;32900
BreadthFirst;Luzern/Obergrundstrasse/85;Luzern/Pilatusstrasse/38;19100
DepthFirst;Emmen/Schachenstrasse/2;Luzern/Zürichstrasse/85;72100
DepthFirst;Luzern/Baselstrasse/76;Luzern/Zürichstrasse/5;26300
DepthFirst;Luzern/Bruchstrasse/18;Luzern/Zentralstrasse/1;40200
DepthFirst;Luzern/Bruchstrasse/35;Luzern/Spitalstrasse/4;20700
DepthFirst;Luzern/Bundesplatz/2;Luzern/Spitalstrasse/16;23000
DepthFirst;Luzern/Haldenstrasse/23;Luzern/Seehüsliweg/6;98400
DepthFirst;Luzern/Horwerstrasse/87;Luzern/Schweizerhofquai/3;68200
DepthFirst;Luzern/Kasernenplatz/3;Luzern/Sankt-Karli-Strasse/29;14900
DepthFirst;Luzern/Obergrundstrasse/110;Luzern/Reusszopfweg/17;58500
DepthFirst;Luzern/Obergrundstrasse/85;Luzern/Pilatusstrasse/38;79600
