BestFirst;Aarau/Bahnhofstrasse/1;Unterentfelden/Roggenhausenstrasse/15;170400
BestFirst;Aarau/Bahnhofstrasse/35;Unterentfelden/Obere Sonnhalde/12;57300
BestFirst;Aarau/Bahnhofstrasse/4;Unterentfelden/Neufeldstrasse/8;66300
BestFirst;Aarau/Bleichmattstrasse/42;Unterentfelden/Moosackerweg/7;69200
BestFirst;Aarau/Entfelderstrasse/1;Unterentfelden/Mattenweg/16;59300
BestFirst;Aarau/Entfelderstrasse/19;Unterentfelden/Landenhofweg/25;25800
BestFirst;Aarau/Entfelderstrasse/2;Unterentfelden/Erlimattstrasse/5;27300
BestFirst;Aarau/Entfelderstrasse/62;Unterentfelden/Eggacherweg/8;25000
BestFirst;Aarau/Feerstrasse/17;Unterentfelden/Alpenweg/10;35100
BestFirst;Aarau/Frey-Heros-Strasse/21;Turgi/Rütibuckstrasse/1;127900
