BestFirst;Aarau/Bahnhofstrasse/1;Unterentfelden/Roggenhausenstrasse/15;170400
BreadthFirst;Aarau/Bahnhofstrasse/1;Unterentfelden/Roggenhausenstrasse/15;154700
DepthFirst;Aarau/Bahnhofstrasse/1;Unterentfelden/Roggenhausenstrasse/15;475600
BestFirst;Aarau/Bahnhofstrasse/35;Unterentfelden/Obere Sonnhalde/12;57300
BreadthFirst;Aarau/Bahnhofstrasse/35;Unterentfelden/Obere Sonnhalde/12;99300
DepthFirst;Aarau/Bahnhofstrasse/35;Unterentfelden/Obere Sonnhalde/12;70700
BestFirst;Aarau/Bahnhofstrasse/4;Unterentfelden/Neufeldstrasse/8;66300
BreadthFirst;Aarau/Bahnhofstrasse/4;Unterentfelden/Neufeldstrasse/8;118600
DepthFirst;Aarau/Bahnhofstrasse/4;Unterentfelden/Neufeldstrasse/8;67900
BestFirst;Aarau/Bleichmattstrasse/42;Unterentfelden/Moosackerweg/7;69200
BreadthFirst;Aarau/Bleichmattstrasse/42;Unterentfelden/Moosackerweg/7;54400
DepthFirst;Aarau/Bleichmattstrasse/42;Unterentfelden/Moosackerweg/7;74100
BestFirst;Aarau/Entfelderstrasse/1;Unterentfelden/Mattenweg/16;59300
BreadthFirst;Aarau/Entfelderstrasse/1;Unterentfelden/Mattenweg/16;117900
DepthFirst;Aarau/Entfelderstrasse/1;Unterentfelden/Mattenweg/16;146700
BestFirst;Aarau/Entfelderstrasse/19;Unterentfelden/Landenhofweg/25;25800
BreadthFirst;Aarau/Entfelderstrasse/19;Unterentfelden/Landenhofweg/25;44500
DepthFirst;Aarau/Entfelderstrasse/19;Unterentfelden/Landenhofweg/25;401400
BestFirst;Aarau/Entfelderstrasse/2;Unterentfelden/Erlimattstrasse/5;27300
BreadthFirst;Aarau/Entfelderstrasse/2;Unterentfelden/Erlimattstrasse/5;48700
DepthFirst;Aarau/Entfelderstrasse/2;Unterentfelden/Erlimattstrasse/5;127300
BestFirst;Aarau/Entfelderstrasse/62;Unterentfelden/Eggacherweg/8;25000
BreadthFirst;Aarau/Entfelderstrasse/62;Unterentfelden/Eggacherweg/8;38100
DepthFirst;Aarau/Entfelderstrasse/62;Unterentfelden/Eggacherweg/8;84400
BestFirst;Aarau/Feerstrasse/17;Unterentfelden/Alpenweg/10;35100
BreadthFirst;Aarau/Feerstrasse/17;Unterentfelden/Alpenweg/10;183200
DepthFirst;Aarau/Feerstrasse/17;Unterentfelden/Alpenweg/10;34800
BestFirst;Aarau/Frey-Heros-Strasse/21;Turgi/Rütibuckstrasse/1;127900
BreadthFirst;Aarau/Frey-Heros-Strasse/21;Turgi/Rütibuckstrasse/1;139400
DepthFirst;Aarau/Frey-Heros-Strasse/21;Turgi/Rütibuckstrasse/1;128300
